Ticker;Quarter;Revenue;Gross Profit;Operating Income;Basic Average Shares;Operating Cashflow;Total Debt;Current Assets;Current Liabilities;PE;PEG;Price on Report Date;Market Cap;Growth
LULU;30.04.2026 00:00;2471603000;1338818000;276946000;115414000;214440000;2136008000;3994575000;1794316000;8,260091;0,92;137,6999969;15892507442;8,978359783
MA;30.06.2026 00:00;9277000000;7330000000;5728000000;882000000;3773000000;24643000000;26522000000;25004000000;32,039776;1,52;513,5999756;4,53E+11;21,0788
MCHP;30.06.2026 00:00;1484700000;938900000;355700000;542500000;511500000;5398700000;2486200000;1294400000;109,161766;0,21;91,19999695;49475998345;519,8179333
MDB;30.04.2026 00:00;687616000;496175000;-24804000;80357498;201631000;30427000;3059618000;618179000;514,274;1,67;250,8300018;20156071368;307,948503
META;30.06.2026 00:00;60801000000;49471000000;18775000000;2543000000;31862000000;1,12E+11;1,25E+11;56379000000;22,289837;0,77;563,289978;1,43E+12;28,94784026
MMM;30.06.2026 00:00;6500000000;2683000000;1320000000;519700000;986000000;12551000000;14112000000;11379000000;30,00532;1,61;161,9100037;84144628923;18,63684472
MPWR;30.06.2026 00:00;980642000;541070000;303894000;49138000;227906000;18934000;2477386000;497934000;74,189865;0,92;1382,359985;67926404943;80,64115761
MRVL;30.04.2026 00:00;2417800000;1260800000;350100000;882000000;638800000;5277200000;7464000000;2276800000;71,590164;1,12;165,1499939;1,46E+11;63,91978929
MSFT;30.06.2026 00:00;90007000000;60482000000;40603000000;7427000000;55441000000;56826000000;2,08E+11;1,69E+11;27,939312;1,63;373,019989;2,77E+12;17,14068221
MU;31.05.2026 00:00;41456000000;35056000000;33318000000;1128000000;25388000000;6376000000;66737000000;19488000000;22,534222;0,14;1035,5;1,17E+12;160,9587286
NFLX;30.06.2026 00:00;12559938000;6522973000;4192610000;4189303000;1743812000;14309306000;13853303000;12134898000;25,50631;1,49;71,40000153;2,99E+11;17,11832886
NOKIA.HE;30.06.2026 00:00;4815000000;2146000000;-50000000;5597472000;-620000000;3359000000;14757000000;9805000000;71,86667;0,84;11,55500031;64678790695;85,55555952
NOW;30.06.2026 00:00;3987000000;2818000000;162000000;1031000000;587000000;8453000000;8514000000;12153000000;89,296875;1,03;99,27999878;1,02E+11;86,69599515
NTAP;30.04.2026 00:00;1948000000;1365000000;531000000;197000000;950000000;2733000000;5776000000;4021000000;26,384747;2,06;110,7699966;21821689330;12,80812961
NTES;31.03.2026 00:00;30591281000;21217072000;12656833000;639624600;13733071000;10955460000;1,89E+11;57437159000;16,203678;1,2;111,9400024;71599579259;13,503065
NVDA;30.04.2026 00:00;81615000000;61157000000;53536000000;24286000000;50344000000;12348000000;1,51E+11;43884000000;29,63924;0,56;199,5700073;4,85E+12;52,92721429
NXPI;30.06.2026 00:00;3496000000;2002000000;1076000000;2524150000;860000000;10976000000;7684000000;3766000000;19,7422;0,44;281,0299988;7,09E+11;44,86863636
OKTA;30.04.2026 00:00;765000000;595000000;56000000;176129000;277000000;411000000;3306000000;2312000000;104,35151;1,38;73,65000153;12971901119;75,61703623
ON;30.06.2026 00:00;1603500000;616300000;299800000;390300000;459700000;4482700000;7281800000;2101900000;48,79739;0,16;94,54000092;36898962359;304,9836875
ONTO;30.06.2026 00:00;343129000;183254000;67311000;49412000;61507000;1471731000;2641941000;271645000;100,390564;0,73;378,4500122;18699972003;137,5213205
ORCL;31.05.2026 00:00;19184000000;12513000000;6955000000;2878000000;14620000000;1,56E+11;46567000000;41764000000;25,6737;0,8;248,1499939;7,14E+11;32,092125
PANW;30.04.2026 00:00;3002000000;2028000000;-183000000;801000000;871000000;2071000000;7713000000;9006000000;288,19827;4,01;179,3200073;1,44E+11;71,86989277
PATH;30.04.2026 00:00;418382000;341454000;27987000;523584000;131928000;83003000;1918362000;831666000;23,335821;0,65;10,30000019;5392915299;35,90126308
PDD;31.03.2026 00:00;1,06E+11;59336000000;19566000000;1404000000;16445000000;5122000000;5,37E+11;2,12E+11;8,894336;0,73;102,1800003;1,43E+11;12,18402192
PINS;30.06.2026 00:00;1179654000;922300000;-40863000;562913000;292885000;1196635000;2323347000;609811000;59,82353;0,29;21,03000069;11838060778;206,2880345
