model,features,signal_horizon,pnl_horizon,threshold,allow_short,Total Return,Annualized,Ann Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Days,Trades,Avg Hold (d),Med Hold (d),Max Hold (d),Avg Flat (d),Avg Exposure,Turnover/yr,Score
Tree,fin+weather,17,7,0.0015,False,0.9144873161129892,0.08980825618134625,0.16156541231479976,0.6133819998467149,0.6419493162048248,-0.2821228391059115,0.4745762711864407,1903,177,7.0,7.0,7,3.730337078651685,0.651077246452969,46.87756174461377,1.0930172260089048
Tree,fin+weather,17,8,0.0015,False,0.8387263203322759,0.08399683029665317,0.16214218751279758,0.5790566648917757,0.5865567791812419,-0.38173861224507544,0.4909722222222222,1903,160,8.0,8.0,8,3.869565217391304,0.6726221755123489,42.37519705727798,0.7408695535218075
Tree,fin+weather,17,9,0.0015,False,1.754911201233611,0.14361579575969285,0.16835569265957348,0.8816774701888707,0.9289760441712236,-0.2886125992302315,0.4951388888888889,1903,144,9.0,9.0,9,4.186206896551724,0.6810299527062533,38.13767735155019,2.050347277403226
Tree,fin+weather,17,10,0.0015,False,1.4187741554408202,0.12407851665346059,0.16952307876808717,0.7750082545445055,0.8206303536978368,-0.30570583991827627,0.5075757575757576,1903,132,10.0,10.0,10,4.383458646616542,0.6936416184971098,34.959537572254334,1.5649378675348076
Tree,fin+weather,17,11,0.0015,False,1.5020116350887327,0.12912614716047255,0.1657240569050598,0.816040004736743,0.8563647574493598,-0.33075913053982353,0.5104166666666666,1903,120,11.0,11.0,11,4.818181818181818,0.6936416184971098,31.781397792958487,1.5312602936321373
Tree,fin+weather,17,12,0.0015,False,1.812878867868231,0.146773630999655,0.17063019867920018,0.8884779790885992,0.9470164191171658,-0.3421567714053051,0.5145888594164456,1903,116,12.0,12.0,12,4.367521367521367,0.7314766158696795,30.72201786652654,1.7866159764555498
Tree,fin+weather,17,13,0.0015,False,2.3101966863509196,0.17176449620525358,0.1677481123146787,1.0289839757320303,1.1564096840208946,-0.24385962746841372,0.5176933158584535,1903,109,13.0,13.0,13,4.418181818181818,0.744613767735155,28.868102995270625,3.1944538369248145
Tree,fin+weather,17,14,0.0015,False,1.382777664560792,0.12184882917700124,0.16890804369835663,0.7655627051323984,0.8126628380260502,-0.33757014674237873,0.5124579124579125,1903,99,14.0,14.0,14,5.17,0.7283236994219653,26.21965317919075,1.3812614444420686
Tree,fin+weather,17,15,0.0015,False,1.9592347679374025,0.1545021672648288,0.17403911836572233,0.9128867022811978,0.9929322103667831,-0.2749250578168093,0.5186170212765957,1903,94,15.0,15.0,15,5.189473684210526,0.7409353652128219,24.895428271150816,2.4030329173876375
Tree,fin+weather,17,16,0.0015,False,1.8361145087033286,0.14802357933149435,0.17138189230754222,0.8916374885999933,0.9413030798436679,-0.33757014674237873,0.5254010695187166,1903,88,16.0,16.0,16,5.561797752808989,0.7398843930635838,23.30635838150289,1.8341012032893593
Tree,fin+weather,17,17,0.0015,False,2.3198844218832773,0.17221804065956903,0.17677823935631645,0.9876600330037423,1.0843598737657718,-0.28584915783718545,0.5322997416020672,1903,86,17.0,17.0,17,5.068965517241379,0.7682606410930111,22.776668418286917,2.736635759146106
Tree,fin+weather,17,18,0.0015,False,2.1250887810169963,0.16286930290365564,0.17431218253149322,0.9530015369725151,1.076459200638757,-0.2671301543274065,0.5269576379974326,1903,82,18.0,18.0,18,5.144578313253012,0.7756174461376774,21.717288491854966,2.6825123459505034
Tree,fin+weather,17,19,0.0015,False,1.686361956417144,0.13980625465838203,0.17741098135543823,0.82662623833487,0.9224572122904323,-0.3002851566998682,0.5211538461538462,1903,78,19.0,19.0,19,5.329113924050633,0.7787703625853915,20.657908565423018,1.8936708625668492
Tree,fin+weather,17,20,0.0015,False,1.7565299742155176,0.1437047587901057,0.1735330528162805,0.8609468391274742,0.9369566831982645,-0.3344543180774585,0.5296010296010296,1903,74,20.0,20.0,20,5.64,0.7777193904361535,19.598528638991066,1.77095009778973
Tree,fin+weather,17,1,0.0015,True,0.7680625904195351,0.07838603045581238,0.12031503510649191,0.6870495639002083,0.785365116761738,-0.09733767744764021,0.2785947712418301,1903,612,1.0,1.0,1,2.1060358890701467,0.3215974776668418,162.08512874408828,2.6607446600396156
